calendar_month,month_end_date,fiscal_year,fiscal_quarter,month_number,relative_month,month_type
2025-06,2025-06-30,FY2025,Q4,6,-12,Historical
2025-07,2025-07-31,FY2026,Q1,7,-11,Historical
2025-08,2025-08-31,FY2026,Q1,8,-10,Historical
2025-09,2025-09-30,FY2026,Q1,9,-9,Historical
2025-10,2025-10-31,FY2026,Q2,10,-8,Historical
2025-11,2025-11-30,FY2026,Q2,11,-7,Historical
2025-12,2025-12-31,FY2026,Q2,12,-6,Historical
2026-01,2026-01-31,FY2026,Q3,1,-5,Historical
2026-02,2026-02-28,FY2026,Q3,2,-4,Historical
2026-03,2026-03-31,FY2026,Q3,3,-3,Historical
2026-04,2026-04-30,FY2026,Q4,4,-2,Historical
2026-05,2026-05-31,FY2026,Q4,5,-1,Historical
2026-06,2026-06-30,FY2026,Q4,6,0,Current
2026-07,2026-07-31,FY2027,Q1,7,1,Forward
2026-08,2026-08-31,FY2027,Q1,8,2,Forward
2026-09,2026-09-30,FY2027,Q1,9,3,Forward
2026-10,2026-10-31,FY2027,Q2,10,4,Forward
2026-11,2026-11-30,FY2027,Q2,11,5,Forward
2026-12,2026-12-31,FY2027,Q2,12,6,Forward
2027-01,2027-01-31,FY2027,Q3,1,7,Forward
2027-02,2027-02-28,FY2027,Q3,2,8,Forward
2027-03,2027-03-31,FY2027,Q3,3,9,Forward
2027-04,2027-04-30,FY2027,Q4,4,10,Forward
2027-05,2027-05-31,FY2027,Q4,5,11,Forward
2027-06,2027-06-30,FY2027,Q4,6,12,Forward
