forecast_month,month_end_date,state,warehouse,sku,brand,brand_family,forecast_depletion_units,planned_receipt_units,projected_inventory_units,expected_stock_coverage_months,target_safety_stock_units,recommended_replenishment_units,recommended_replenishment_value_usd,potential_oos_flag,risk_level,lead_time_days
2026-07,2026-07-31,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,801,1274,1708,2.05,1457,0,0.00,N,Healthy,21
2026-08,2026-08-31,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,787,586,1507,1.84,1431,0,0.00,N,Moderate,21
2026-09,2026-09-30,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,719,596,1384,1.85,1307,0,0.00,N,Moderate,21
2026-10,2026-10-31,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,675,596,1305,1.86,1228,0,0.00,N,Moderate,21
2026-11,2026-11-30,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,657,1274,1922,2.81,1195,0,0.00,N,Healthy,21
2026-12,2026-12-31,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,798,374,1498,1.81,1450,0,0.00,N,Moderate,21
2027-01,2027-01-31,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,605,238,1131,1.80,1100,0,0.00,N,Moderate,21
2027-02,2027-02-28,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,642,779,1268,1.90,1167,0,0.00,N,Moderate,21
2027-03,2027-03-31,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,708,1274,1834,2.49,1288,0,0.00,N,Healthy,21
2027-04,2027-04-30,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,769,382,1447,1.81,1398,0,0.00,N,Moderate,21
2027-05,2027-05-31,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,831,1030,1646,1.91,1512,0,0.00,N,Moderate,21
2027-06,2027-06-30,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,887,982,1741,1.89,1613,0,0.00,N,Moderate,21
2026-07,2026-07-31,WA,SEA-01,SKU-1001,NorthPeak,Craft Sodas,557,885,1086,1.88,1071,0,0.00,N,Moderate,24
2026-08,2026-08-31,WA,SEA-01,SKU-1001,NorthPeak,Craft Sodas,547,587,1126,1.98,1050,0,0.00,N,Moderate,24
2026-09,2026-09-30,WA,SEA-01,SKU-1001,NorthPeak,Craft Sodas,499,380,1007,1.94,958,0,0.00,N,Moderate,24
2026-10,2026-10-31,WA,SEA-01,SKU-1001,NorthPeak,Craft Sodas,469,416,954,1.96,900,0,0.00,N,Moderate,24
2026-11,2026-11-30,WA,SEA-01,SKU-1001,NorthPeak,Craft Sodas,456,885,1383,2.92,876,0,0.00,N,Healthy,24
2026-12,2026-12-31,WA,SEA-01,SKU-1001,NorthPeak,Craft Sodas,555,274,1102,1.91,1067,0,0.00,N,Moderate,24
2027-01,2027-01-31,WA,SEA-01,SKU-1001,NorthPeak,Craft Sodas,420,142,824,1.89,806,0,0.00,N,Moderate,24
2027-02,2027-02-28,WA,SEA-01,SKU-1001,NorthPeak,Craft Sodas,446,549,927,2.00,856,0,0.00,N,Healthy,24
2027-03,2027-03-31,WA,SEA-01,SKU-1001,NorthPeak,Craft Sodas,492,885,1320,2.58,945,0,0.00,N,Healthy,24
2027-04,2027-04-30,WA,SEA-01,SKU-1001,NorthPeak,Craft Sodas,534,276,1062,1.91,1026,0,0.00,N,Moderate,24
2027-05,2027-05-31,WA,SEA-01,SKU-1001,NorthPeak,Craft Sodas,577,718,1203,2.00,1110,0,0.00,N,Healthy,24
2027-06,2027-06-30,WA,SEA-01,SKU-1001,NorthPeak,Craft Sodas,616,686,1273,1.99,1184,0,0.00,N,Moderate,24
2026-07,2026-07-31,NY,NYC-01,SKU-1001,NorthPeak,Craft Sodas,829,0,151,0.18,1724,1573,16988.40,Y,Critical,28
2026-08,2026-08-31,NY,NYC-01,SKU-1001,NorthPeak,Craft Sodas,814,0,0,0.00,1692,1692,18273.60,Y,Critical,28
2026-09,2026-09-30,NY,NYC-01,SKU-1001,NorthPeak,Craft Sodas,743,1449,706,0.91,1544,838,9050.40,Y,Critical,28
2026-10,2026-10-31,NY,NYC-01,SKU-1001,NorthPeak,Craft Sodas,698,0,8,0.01,1450,1442,15573.60,Y,Critical,28
2026-11,2026-11-30,NY,NYC-01,SKU-1001,NorthPeak,Craft Sodas,679,0,0,0.00,1412,1412,15249.60,Y,Critical,28
2026-12,2026-12-31,NY,NYC-01,SKU-1001,NorthPeak,Craft Sodas,825,0,0,0.00,1716,1716,18532.80,Y,Critical,28
2027-01,2027-01-31,NY,NYC-01,SKU-1001,NorthPeak,Craft Sodas,626,1449,823,1.26,1302,479,5173.20,N,High,28
2027-02,2027-02-28,NY,NYC-01,SKU-1001,NorthPeak,Craft Sodas,664,0,159,0.23,1380,1221,13186.80,Y,Critical,28
2027-03,2027-03-31,NY,NYC-01,SKU-1001,NorthPeak,Craft Sodas,732,0,0,0.00,1522,1522,16437.60,Y,Critical,28
2027-04,2027-04-30,NY,NYC-01,SKU-1001,NorthPeak,Craft Sodas,795,0,0,0.00,1652,1652,17841.60,Y,Critical,28
2027-05,2027-05-31,NY,NYC-01,SKU-1001,NorthPeak,Craft Sodas,859,1449,590,0.66,1786,1196,12916.80,Y,Critical,28
2027-06,2027-06-30,NY,NYC-01,SKU-1001,NorthPeak,Craft Sodas,917,0,0,0.00,1906,1906,20584.80,Y,Critical,28
2026-07,2026-07-31,TX,DAL-01,SKU-1002,NorthPeak,Craft Sodas,650,1034,1386,2.05,1081,0,0.00,N,Healthy,18
2026-08,2026-08-31,TX,DAL-01,SKU-1002,NorthPeak,Craft Sodas,639,362,1109,1.67,1062,0,0.00,N,Moderate,18
2026-09,2026-09-30,TX,DAL-01,SKU-1002,NorthPeak,Craft Sodas,583,509,1035,1.71,969,0,0.00,N,Moderate,18
2026-10,2026-10-31,TX,DAL-01,SKU-1002,NorthPeak,Craft Sodas,548,486,973,1.71,910,0,0.00,N,Moderate,18
2026-11,2026-11-30,TX,DAL-01,SKU-1002,NorthPeak,Craft Sodas,533,1034,1474,2.66,886,0,0.00,N,Healthy,18
2026-12,2026-12-31,TX,DAL-01,SKU-1002,NorthPeak,Craft Sodas,648,287,1113,1.65,1076,0,0.00,N,Moderate,18
2027-01,2027-01-31,TX,DAL-01,SKU-1002,NorthPeak,Craft Sodas,491,223,845,1.66,816,0,0.00,N,Moderate,18
2027-02,2027-02-28,TX,DAL-01,SKU-1002,NorthPeak,Craft Sodas,521,622,946,1.75,865,0,0.00,N,Moderate,18
2027-03,2027-03-31,TX,DAL-01,SKU-1002,NorthPeak,Craft Sodas,575,1034,1405,2.35,956,0,0.00,N,Healthy,18
2027-04,2027-04-30,TX,DAL-01,SKU-1002,NorthPeak,Craft Sodas,624,293,1074,1.66,1036,0,0.00,N,Moderate,18
2027-05,2027-05-31,TX,DAL-01,SKU-1002,NorthPeak,Craft Sodas,674,827,1227,1.75,1120,0,0.00,N,Moderate,18
2027-06,2027-06-30,TX,DAL-01,SKU-1002,NorthPeak,Craft Sodas,719,790,1298,1.74,1195,0,0.00,N,Moderate,18
2026-07,2026-07-31,FL,MIA-01,SKU-1002,NorthPeak,Craft Sodas,561,893,1097,1.88,1049,0,0.00,N,Moderate,22
2026-08,2026-08-31,FL,MIA-01,SKU-1002,NorthPeak,Craft Sodas,551,557,1103,1.92,1031,0,0.00,N,Moderate,22
2026-09,2026-09-30,FL,MIA-01,SKU-1002,NorthPeak,Craft Sodas,503,392,992,1.90,941,0,0.00,N,Moderate,22
2026-10,2026-10-31,FL,MIA-01,SKU-1002,NorthPeak,Craft Sodas,473,418,937,1.91,883,0,0.00,N,Moderate,22
2026-11,2026-11-30,FL,MIA-01,SKU-1002,NorthPeak,Craft Sodas,460,893,1370,2.87,860,0,0.00,N,Healthy,22
2026-12,2026-12-31,FL,MIA-01,SKU-1002,NorthPeak,Craft Sodas,559,269,1080,1.86,1045,0,0.00,N,Moderate,22
2027-01,2027-01-31,FL,MIA-01,SKU-1002,NorthPeak,Craft Sodas,424,156,812,1.85,792,0,0.00,N,Moderate,22
2027-02,2027-02-28,FL,MIA-01,SKU-1002,NorthPeak,Craft Sodas,450,552,914,1.95,842,0,0.00,N,Moderate,22
2027-03,2027-03-31,FL,MIA-01,SKU-1002,NorthPeak,Craft Sodas,496,893,1311,2.55,927,0,0.00,N,Healthy,22
2027-04,2027-04-30,FL,MIA-01,SKU-1002,NorthPeak,Craft Sodas,539,271,1043,1.86,1008,0,0.00,N,Moderate,22
2027-05,2027-05-31,FL,MIA-01,SKU-1002,NorthPeak,Craft Sodas,582,722,1183,1.96,1089,0,0.00,N,Moderate,22
2027-06,2027-06-30,FL,MIA-01,SKU-1002,NorthPeak,Craft Sodas,621,688,1250,1.94,1161,0,0.00,N,Moderate,22
2026-07,2026-07-31,CA,LA-01,SKU-2001,ClearSpring,Functional Water,579,1196,1360,2.26,1264,0,0.00,N,Healthy,30
2026-08,2026-08-31,CA,LA-01,SKU-2001,ClearSpring,Functional Water,568,514,1306,2.21,1239,0,0.00,N,Healthy,30
2026-09,2026-09-30,CA,LA-01,SKU-2001,ClearSpring,Functional Water,519,395,1182,2.19,1131,0,0.00,N,Healthy,30
2026-10,2026-10-31,CA,LA-01,SKU-2001,ClearSpring,Functional Water,487,1196,1891,3.74,1062,0,0.00,N,Excess,30
2026-11,2026-11-30,CA,LA-01,SKU-2001,ClearSpring,Functional Water,474,0,1417,2.88,1033,0,0.00,N,Healthy,30
2026-12,2026-12-31,CA,LA-01,SKU-2001,ClearSpring,Functional Water,576,478,1319,2.20,1257,0,0.00,N,Healthy,30
2027-01,2027-01-31,CA,LA-01,SKU-2001,ClearSpring,Functional Water,437,1196,2078,4.58,953,0,0.00,N,Excess,30
2027-02,2027-02-28,CA,LA-01,SKU-2001,ClearSpring,Functional Water,463,0,1615,3.36,1010,0,0.00,N,Excess,30
2027-03,2027-03-31,CA,LA-01,SKU-2001,ClearSpring,Functional Water,511,12,1116,2.10,1115,0,0.00,N,Healthy,30
2027-04,2027-04-30,CA,LA-01,SKU-2001,ClearSpring,Functional Water,555,1196,1757,3.05,1211,0,0.00,N,Excess,30
2027-05,2027-05-31,CA,LA-01,SKU-2001,ClearSpring,Functional Water,600,175,1332,2.13,1310,0,0.00,N,Healthy,30
2027-06,2027-06-30,CA,LA-01,SKU-2001,ClearSpring,Functional Water,640,809,1501,2.26,1396,0,0.00,N,Healthy,30
2026-07,2026-07-31,IL,CHI-01,SKU-2001,ClearSpring,Functional Water,431,892,1182,2.64,851,0,0.00,N,Healthy,26
2026-08,2026-08-31,IL,CHI-01,SKU-2001,ClearSpring,Functional Water,424,89,847,1.93,836,0,0.00,N,Moderate,26
2026-09,2026-09-30,IL,CHI-01,SKU-2001,ClearSpring,Functional Water,387,348,808,2.01,763,0,0.00,N,Healthy,26
2026-10,2026-10-31,IL,CHI-01,SKU-2001,ClearSpring,Functional Water,363,892,1337,3.55,716,0,0.00,N,Excess,26
2026-11,2026-11-30,IL,CHI-01,SKU-2001,ClearSpring,Functional Water,354,0,983,2.67,699,0,0.00,N,Healthy,26
2026-12,2026-12-31,IL,CHI-01,SKU-2001,ClearSpring,Functional Water,430,340,893,2.00,849,0,0.00,N,Moderate,26
2027-01,2027-01-31,IL,CHI-01,SKU-2001,ClearSpring,Functional Water,326,892,1459,4.30,644,0,0.00,N,Excess,26
2027-02,2027-02-28,IL,CHI-01,SKU-2001,ClearSpring,Functional Water,345,0,1114,3.11,680,0,0.00,N,Excess,26
2027-03,2027-03-31,IL,CHI-01,SKU-2001,ClearSpring,Functional Water,381,21,754,1.90,752,0,0.00,N,Moderate,26
2027-04,2027-04-30,IL,CHI-01,SKU-2001,ClearSpring,Functional Water,414,892,1232,2.87,817,0,0.00,N,Healthy,26
2027-05,2027-05-31,IL,CHI-01,SKU-2001,ClearSpring,Functional Water,447,110,895,1.93,881,0,0.00,N,Moderate,26
2027-06,2027-06-30,IL,CHI-01,SKU-2001,ClearSpring,Functional Water,477,602,1020,2.06,942,0,0.00,N,Healthy,26
2026-07,2026-07-31,NY,NYC-01,SKU-2002,ClearSpring,Functional Water,476,983,1210,2.44,1089,0,0.00,N,Healthy,32
2026-08,2026-08-31,NY,NYC-01,SKU-2002,ClearSpring,Functional Water,467,372,1115,2.30,1067,0,0.00,N,Healthy,32
2026-09,2026-09-30,NY,NYC-01,SKU-2002,ClearSpring,Functional Water,426,327,1016,2.29,974,0,0.00,N,Healthy,32
2026-10,2026-10-31,NY,NYC-01,SKU-2002,ClearSpring,Functional Water,400,983,1599,3.84,915,0,0.00,N,Excess,32
2026-11,2026-11-30,NY,NYC-01,SKU-2002,ClearSpring,Functional Water,390,0,1209,2.99,891,0,0.00,N,Healthy,32
2026-12,2026-12-31,NY,NYC-01,SKU-2002,ClearSpring,Functional Water,474,399,1134,2.30,1082,0,0.00,N,Healthy,32
2027-01,2027-01-31,NY,NYC-01,SKU-2002,ClearSpring,Functional Water,359,983,1758,4.71,820,0,0.00,N,Excess,32
2027-02,2027-02-28,NY,NYC-01,SKU-2002,ClearSpring,Functional Water,381,0,1377,3.48,871,0,0.00,N,Excess,32
2027-03,2027-03-31,NY,NYC-01,SKU-2002,ClearSpring,Functional Water,420,2,959,2.20,959,0,0.00,N,Healthy,32
2027-04,2027-04-30,NY,NYC-01,SKU-2002,ClearSpring,Functional Water,456,983,1486,3.14,1042,0,0.00,N,Excess,32
2027-05,2027-05-31,NY,NYC-01,SKU-2002,ClearSpring,Functional Water,493,152,1145,2.24,1126,0,0.00,N,Healthy,32
2027-06,2027-06-30,NY,NYC-01,SKU-2002,ClearSpring,Functional Water,526,671,1290,2.36,1203,0,0.00,N,Healthy,32
2026-07,2026-07-31,TX,DAL-01,SKU-3001,FieldHouse,Protein Snacks,858,1358,1515,1.70,1338,0,0.00,N,Moderate,17
2026-08,2026-08-31,TX,DAL-01,SKU-3001,FieldHouse,Protein Snacks,842,954,1627,1.86,1312,0,0.00,N,Moderate,17
2026-09,2026-09-30,TX,DAL-01,SKU-3001,FieldHouse,Protein Snacks,769,390,1248,1.56,1198,0,0.00,N,Moderate,17
2026-10,2026-10-31,TX,DAL-01,SKU-3001,FieldHouse,Protein Snacks,722,688,1214,1.62,1125,0,0.00,N,Moderate,17
2026-11,2026-11-30,TX,DAL-01,SKU-3001,FieldHouse,Protein Snacks,703,672,1183,1.62,1096,0,0.00,N,Moderate,17
2026-12,2026-12-31,TX,DAL-01,SKU-3001,FieldHouse,Protein Snacks,854,1010,1339,1.51,1332,0,0.00,N,Moderate,17
2027-01,2027-01-31,TX,DAL-01,SKU-3001,FieldHouse,Protein Snacks,648,365,1056,1.57,1009,0,0.00,N,Moderate,17
2027-02,2027-02-28,TX,DAL-01,SKU-3001,FieldHouse,Protein Snacks,687,807,1176,1.65,1071,0,0.00,N,Moderate,17
2027-03,2027-03-31,TX,DAL-01,SKU-3001,FieldHouse,Protein Snacks,758,878,1296,1.64,1182,0,0.00,N,Moderate,17
2027-04,2027-04-30,TX,DAL-01,SKU-3001,FieldHouse,Protein Snacks,823,954,1427,1.67,1282,0,0.00,N,Moderate,17
