snapshot_month,month_end_date,month_type,state,warehouse,sku,brand,brand_family,inventory_units,inventory_value_usd,seasonality_index,outlier_flag,trend_signal
2025-06,2025-06-30,Historical,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,1576,16075.20,1.18,N,Historical baseline
2025-07,2025-07-31,Historical,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,1665,16983.00,1.24,N,Historical baseline
2025-08,2025-08-31,Historical,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,1620,16524.00,1.20,N,Historical baseline
2025-09,2025-09-30,Historical,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,1465,14943.00,1.08,N,Historical baseline
2025-10,2025-10-31,Historical,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,1363,13902.60,1.00,N,Historical baseline
2025-11,2025-11-30,Historical,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,1314,13402.80,0.96,N,Historical baseline
2025-12,2025-12-31,Historical,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,1581,16126.20,1.15,N,Historical baseline
2026-01,2026-01-31,Historical,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,1186,12097.20,0.86,N,Historical baseline
2026-02,2026-02-28,Historical,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,1246,12709.20,0.90,N,Historical baseline
2026-03,2026-03-31,Historical,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,1443,14718.60,0.98,N,Recent trend
2026-04,2026-04-30,Historical,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,1551,15820.20,1.05,N,Recent trend
2026-05,2026-05-31,Historical,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,1659,16921.80,1.12,N,Recent trend
2026-06,2026-06-30,Current,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,1235,12597.00,1.18,N,Recent trend
2026-07,2026-07-31,Forward,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,403,4110.60,1.24,N,Forward projected inventory
2026-08,2026-08-31,Forward,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,288,2937.60,1.20,N,Forward projected inventory
2026-09,2026-09-30,Forward,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,25,255.00,1.08,N,Forward projected inventory
2026-10,2026-10-31,Forward,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,25,255.00,1.00,N,Forward projected inventory
2026-11,2026-11-30,Forward,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,50,510.00,0.96,N,Forward projected inventory
2026-12,2026-12-31,Forward,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,25,255.00,1.15,N,Forward projected inventory
2027-01,2027-01-31,Forward,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,25,255.00,0.86,N,Forward projected inventory
2027-02,2027-02-28,Forward,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,71,724.20,0.90,N,Forward projected inventory
2027-03,2027-03-31,Forward,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,25,255.00,0.98,N,Forward projected inventory
2027-04,2027-04-30,Forward,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,25,255.00,1.05,N,Forward projected inventory
2027-05,2027-05-31,Forward,CA,LA-01,SKU-1001,NorthPeak,Craft Sodas,25,255.00,1.12,N,Forward projected inventory
